FingerPrint,Week,Iteration,Unscheduled,BaseFP,Count,GamesInWeek,HighSeqNum 
2.0311199758149E13,6,2834,0,1.5055703360421E13,3,11,11
1.5055703360421E13,7,2846,0,1.1243572115279E13,2,14,13
1.4934573270417E13,7,2856,0,1.1243572115279E13,1,15,14
2.0287068069153E13,6,2876,0,1.4934573270417E13,1,14,14
1.9124558679E11,16,2899,0,4.2809158174E10,2,15,13
4.71553557618E11,15,2903,0,1.9124558679E11,1,16,15
9.07048455698E11,14,2904,0,4.71553557618E11,1,16,14
1.960003747948E12,13,2905,0,9.07048455698E11,1,16,15
3.106779560572E12,12,2906,0,1.960003747948E12,1,15,14
5.30493166367E12,11,2908,0,3.106779560572E12,1,15,15
7.050033438262E12,10,2910,0,5.30493166367E12,1,14,15
1.0422154819627E13,9,2917,0,7.050033438262E12,1,14,15
1.3629757627127E13,8,2927,0,1.0422154819627E13,1,15,15
1.7560292953394E13,7,2937,0,1.3629757627127E13,1,13,13
2.3452125933026E13,6,2948,0,1.7560292953394E13,1,13,13
2.4083155344098E13,6,2974,0,1.7560292953394E13,1,13,13
2.3654350877762E13,6,3000,0,1.7560292953394E13,1,14,14
2.8278599868747E13,5,3010,0,2.3654350877762E13,1,13,14
3.4047990625247E13,4,3013,0,2.8278599868747E13,1,15,16
3.4047990625247E13,4,3035,0,2.8278599868747E13,2,14,15
3.4047990625247E13,4,3036,0,2.8278599868747E13,3,13,14
3.4660823646887E13,4,3053,0,2.8278599868747E13,1,15,16
3.4047990625247E13,4,3075,0,2.8278599868747E13,4,12,13
3.4575692058247E13,4,3077,0,2.8278599868747E13,1,15,16
3.4575692058247E13,4,3100,0,2.8278599868747E13,2,14,15
2.7628914174804E13,5,3121,0,2.3654350877762E13,1,14,15
2.3654350877762E13,6,3164,0,1.7560292953394E13,2,13,14
2.3654350877762E13,6,3171,0,1.7560292953394E13,3,12,13
2.3654350877762E13,6,3181,0,1.7560292953394E13,4,11,11
1.7630591056412E13,7,3193,0,1.3629757627127E13,1,13,13
2.2351564489388E13,6,3202,0,1.7630591056412E13,1,13,13
2.7747266952409E13,5,3209,0,2.2351564489388E13,1,14,15
2.3325856470572E13,6,3258,0,1.7630591056412E13,1,13,13
2.8779864824561E13,5,3263,0,2.3325856470572E13,1,14,15
3.5753321209141E13,4,3275,0,2.8779864824561E13,1,15,16
3.3501362765525E13,4,3298,0,2.8779864824561E13,1,15,16
3.3501362765525E13,4,3321,0,2.8779864824561E13,2,14,15
3.4825759917029E13,4,3323,0,2.8779864824561E13,1,15,16
3.3501362765525E13,4,3346,0,2.8779864824561E13,3,13,15
3.4825759917029E13,4,3348,0,2.8779864824561E13,2,14,15
3.3501362765525E13,4,3350,0,2.8779864824561E13,4,12,14
3.3501362765525E13,4,3352,0,2.8779864824561E13,5,11,12
3.3501362765525E13,4,3354,0,2.8779864824561E13,6,10,11
3.3501362765525E13,4,3356,0,2.8779864824561E13,7,9,10
3.3501362765525E13,4,3358,0,2.8779864824561E13,8,8,9
3.3501362765525E13,4,3360,0,2.8779864824561E13,9,7,8
3.3501362765525E13,4,3362,0,2.8779864824561E13,10,6,7
2.9865362667094E13,5,3369,0,2.3325856470572E13,1,15,16
2.9865362667094E13,5,3402,0,2.3325856470572E13,2,14,15
2.9865362667094E13,5,3408,0,2.3325856470572E13,3,13,14
2.27456747771E13,6,3419,0,1.7630591056412E13,1,14,14
2.7716450403163E13,5,3422,0,2.27456747771E13,1,13,14
2.869983206527E13,5,3444,0,2.27456747771E13,1,15,16
2.7723790095978E13,5,3466,0,2.27456747771E13,1,14,15
3.5648274171178E13,4,3469,0,2.7723790095978E13,1,14,15
1.80688772334E11,16,3492,0,4.2809158174E10,1,16,14
4.233621171E11,15,3493,0,1.80688772334E11,1,16,15
4.233621171E11,15,3515,0,1.80688772334E11,2,15,14
4.48676962968E11,15,3516,0,1.80688772334E11,1,16,15
1.069944878584E12,14,3519,0,4.48676962968E11,1,16,14
2.018174770034E12,13,3521,0,1.069944878584E12,1,15,15
3.278747115026E12,12,3528,0,2.018174770034E12,1,15,14
5.031866025282E12,11,3531,0,3.278747115026E12,1,13,13
7.15628601901E12,10,3534,0,5.031866025282E12,1,14,15
8.971856916616E12,9,3535,0,7.15628601901E12,1,13,14
1.2077642416016E13,8,3538,0,8.971856916616E12,1,15,15
1.6111651646355E13,7,3554,0,1.2077642416016E13,1,14,14
2.1669926608131E13,6,3555,0,1.6111651646355E13,1,15,15
2.1566972506371E13,6,3577,0,1.6111651646355E13,1,15,15
2.1566972506371E13,6,3599,0,1.6111651646355E13,2,14,14
2.1443805619683E13,6,3600,0,1.6111651646355E13,1,15,15
2.1443805619683E13,6,3622,0,1.6111651646355E13,2,14,14
2.1443805619683E13,6,3623,0,1.6111651646355E13,3,13,13
2.1507854682435E13,6,3624,0,1.6111651646355E13,1,15,15
2.1610808784195E13,6,3646,0,1.6111651646355E13,1,15,15
2.1610808784195E13,6,3668,0,1.6111651646355E13,2,14,14
2.1507854682435E13,6,3669,0,1.6111651646355E13,2,14,15
2.1610808784195E13,6,3670,0,1.6111651646355E13,3,13,13
2.1610808784195E13,6,3671,0,1.6111651646355E13,4,12,12
2.1507854682435E13,6,3672,0,1.6111651646355E13,3,13,15
2.1610808784195E13,6,3673,0,1.6111651646355E13,5,11,11
2.1531768544707E13,6,3685,0,1.6111651646355E13,1,15,15
2.1531768544707E13,6,3711,0,1.6111651646355E13,2,14,14
2.1305647556259E13,6,3715,0,1.6111651646355E13,1,15,15
2.1408601658019E13,6,3737,0,1.6111651646355E13,1,15,15
